order,slug,name,category,biome,subject,palette_mood,design_mood,status
493,morphous-lyrebird,Lyrebird,bird,temperate rainforest,lyrebird tail,brown feather silver tail moss,elegant media system,queued
494,morphous-bowerbird,Bowerbird,bird,australian forest,bowerbird display,blue object brown feather green,curated collection system,queued
495,morphous-birdwing-butterfly,Birdwing Butterfly,insect,tropical canopy,birdwing butterfly,green gold black wing,ornate ecosystem system,queued
496,morphous-hornbill,Hornbill,bird,tropical canopy,hornbill casque,yellow casque black white green,bold navigation system,queued
497,morphous-quetzal,Resplendent Quetzal,bird,cloud forest,quetzal tail,emerald tail crimson chest gold,majestic portfolio system,queued
498,morphous-roller,Lilac Breasted Roller,bird,savanna woodland,roller plumage,lilac turquoise chestnut green,bright content system,queued
499,morphous-bee-eater,Bee Eater,bird,riverbank,bee eater plumage,green yellow blue chestnut,swift community system,queued
500,morphous-sunbird,Sunbird,bird,tropical flower,sunbird throat,metallic violet green yellow,compact creator system,queued
501,morphous-wren,Wren,bird,hedgerow,wren feather,warm brown cream stripe leaf green,small notes system,queued
502,morphous-robin,Robin,bird,garden hedge,robin breast,orange breast brown wing green,approachable dashboard system,queued
503,morphous-cardinal,Cardinal,bird,winter shrub,cardinal crest,red feather black mask snow,clear alert system,queued
504,morphous-blue-jay,Blue Jay,bird,oak woods,blue jay feather,blue white black oak brown,crisp communication system,queued
505,morphous-magpie,Magpie,bird,field edge,magpie iridescence,black white blue green flash,high contrast app system,queued
506,morphous-raven,Raven,bird,mountain forest,raven feather,black feather blue sheen stone,serious knowledge system,queued
507,morphous-crow,Crow,bird,urban woodland,crow feather,charcoal black grey eye,practical civic system,queued
508,morphous-swallow,Swallow,bird,summer field,swallow wings,blue black rust throat sky,swift messaging system,queued
509,morphous-kinglet,Kinglet,bird,conifer grove,kinglet crown,olive green yellow crown grey,compact notification system,queued
510,morphous-goldfinch,Goldfinch,bird,thistle meadow,goldfinch feather,yellow black white thistle green,bright social system,queued
511,morphous-oriole,Oriole,bird,orchard canopy,oriole plumage,orange black leaf green,clear publishing system,queued
512,morphous-tanager,Tanager,bird,tropical forest,tanager plumage,scarlet black blue green,vivid catalog system,queued
513,morphous-bunting,Painted Bunting,bird,southern thicket,painted bunting colors,blue green red yellow,joyful creator system,queued
514,morphous-warbling-vireo,Vireo,bird,riparian woods,vireo plumage,olive green white eye grey,subtle task system,queued
515,morphous-honeycreeper,Honeycreeper,bird,hawaiian forest,honeycreeper bill,crimson feather black bill leaf,conservation dashboard system,queued
516,morphous-ptarmigan,Ptarmigan,bird,alpine tundra,ptarmigan plumage,white brown speckle snow rock,seasonal mode system,queued
517,morphous-pheasant,Pheasant,bird,grassland edge,pheasant feather,copper green red gold,ornate content system,queued
518,morphous-guineafowl,Guineafowl,bird,savanna scrub,guineafowl spots,black white dot blue head,patterned operations system,queued
519,morphous-peafowl-feather,Peafowl Feather,bird,monsoon garden,peacock eye feather,teal cobalt bronze gold,decorative gallery system,queued
520,morphous-hummingbird-wing,Hummingbird Wing,bird,cloud forest,hummingbird wing blur,emerald grey ruby flash,fast precision system,queued
521,morphous-granite,Granite,mineral,mountain batholith,granite texture,white feldspar black mica pink quartz,solid infrastructure system,queued
522,morphous-marble,Marble,mineral,metamorphic quarry,marble veining,white grey vein blush stone,refined enterprise system,queued
523,morphous-slate,Slate,mineral,wet quarry,slate layers,blue grey charcoal mineral green,calm documentation system,queued
524,morphous-basalt,Basalt,mineral,lava field,basalt column,black basalt grey lichen green,strong data system,queued
525,morphous-pumice,Pumice,mineral,volcanic beach,pumice stone,porous cream grey ash tan,lightweight tooling system,queued
526,morphous-quartz,Quartz,mineral,crystal vein,quartz cluster,clear white rainbow prism grey,precise component system,queued
527,morphous-rose-quartz,Rose Quartz,mineral,pegmatite vein,rose quartz,soft pink milky white stone,kind wellness system,queued
528,morphous-smoky-quartz,Smoky Quartz,mineral,alpine pocket,smoky quartz,smoke brown clear crystal shadow,grounded premium system,queued
529,morphous-citrine,Citrine,mineral,crystal pocket,citrine crystal,honey yellow clear white grey,bright finance system,queued
530,morphous-aquamarine,Aquamarine,mineral,pegmatite seam,aquamarine crystal,sea blue clear ice white,clean luxury system,queued
531,morphous-emerald,Emerald,mineral,beryl vein,emerald crystal,deep green black matrix cream,premium dashboard system,queued
532,morphous-ruby,Ruby,mineral,marble deposit,ruby crystal,red ruby pink corundum grey,bold commerce system,queued
533,morphous-sapphire,Sapphire,mineral,alluvial gravel,sapphire gem,deep blue silver highlight black,trust analytics system,queued
534,morphous-opal,Opal,mineral,outback seam,opal flash,white fire blue green orange,iridescent creator system,queued
535,morphous-turquoise,Turquoise,mineral,desert mine,turquoise stone,turquoise blue matrix brown sand,desert identity system,queued
536,morphous-lapis,Lapis Lazuli,mineral,mountain mine,lapis stone,ultramarine blue gold pyrite white,royal knowledge system,queued
537,morphous-azurite,Azurite,mineral,copper mine,azurite crystal,deep blue velvet green malachite,rich research system,queued
538,morphous-carnelian,Carnelian,mineral,river gravel,carnelian pebble,orange red translucent cream,warm brand system,queued
539,morphous-agate,Agate,mineral,geode seam,agate bands,cream brown blue banding,layered editor system,queued
540,morphous-jasper,Jasper,mineral,desert wash,jasper pebble,red ochre cream black,earthy dashboard system,queued
541,morphous-onyx,Onyx,mineral,banded deposit,onyx bands,black white band polished,sharp portfolio system,queued
542,morphous-fluorite,Fluorite,mineral,crystal mine,fluorite cube,purple green clear cube,structured workflow system,queued
543,morphous-calcite,Calcite,mineral,cave deposit,calcite crystal,clear honey cream cave brown,transparent documentation system,queued
544,morphous-pyrite,Pyrite,mineral,ore vein,pyrite cube,brassy gold dark matrix black,precise finance system,queued
545,morphous-hematite,Hematite,mineral,iron ridge,hematite sheen,gunmetal grey red streak,polished operations system,queued
546,morphous-copper-ore,Copper Ore,mineral,copper deposit,copper ore,copper orange green patina stone,industrial dashboard system,queued
547,morphous-sulfur,Sulfur,mineral,volcanic fumarole,sulfur crystal,bright yellow ash grey vapor,alert incident system,queued
548,morphous-selenite,Selenite,mineral,desert cave,selenite blade,white satin crystal sand,quiet clarity system,queued
549,morphous-halite,Halite,mineral,salt flat,halite cube,clear salt pink shadow white,minimal storage system,queued
550,morphous-gypsum-rose,Desert Rose,mineral,sandy basin,gypsum rose,sand tan petal crystal shadow,soft desert system,queued
551,morphous-ice-cave,Ice Cave,landscape,glacial tunnel,ice cave wall,blue ice white shadow black,immersive enterprise system,queued
552,morphous-fjord,Fjord,landscape,nordic coast,fjord cliffs,deep blue water granite snow,calm planning system,queued
553,morphous-mesa,Mesa,landscape,high desert,mesa silhouette,red rock sage green sky blue,layered storytelling system,queued
554,morphous-badlands,Badlands,landscape,eroded prairie,badlands stripes,clay red cream shadow blue,rugged archive system,queued
555,morphous-buttes,Buttes,landscape,desert basin,stone buttes,ochre rock sky cyan shadow,spacious dashboard system,queued
556,morphous-karst,Karst,landscape,limestone valley,karst towers,limestone grey jungle green mist,vertical exploration system,queued
557,morphous-limestone-cave,Limestone Cave,landscape,underground cave,stalactite cave,cream calcite dark stone gold,subterranean knowledge system,queued
558,morphous-cenote,Cenote,landscape,tropical sinkhole,cenote pool,turquoise water limestone green,serene travel system,queued
559,morphous-hot-spring,Hot Spring,landscape,geothermal field,hot spring pool,steam white mineral blue ochre,wellness booking system,queued
560,morphous-geyser,Geyser,landscape,geothermal basin,geyser plume,white steam blue pool mineral tan,burst alert system,queued
561,morphous-lava-tube,Lava Tube,landscape,volcanic island,lava tube tunnel,black basalt orange glow grey,incident response system,queued
562,morphous-ash-field,Ash Field,landscape,volcanic plain,ash field,ash grey black pumice rust,minimal recovery system,queued
563,morphous-salt-flat,Salt Flat,landscape,desert playa,salt polygons,white salt pale blue shadow,clean grid system,queued
564,morphous-playa-lake,Playa Lake,landscape,dry basin,playa lake crust,cream clay sky blue sage,quiet planning system,queued
565,morphous-oasis,Oasis,landscape,desert spring,oasis palms,emerald palm blue water sand,resource scheduling system,queued
566,morphous-wadi,Wadi,landscape,desert canyon,wadi channel,sand stone acacia green sky,route planning system,queued
567,morphous-delta,Delta,landscape,river mouth,river delta channels,teal water silt tan reed green,branching analytics system,queued
568,morphous-estuary,Estuary,landscape,tidal river,estuary marsh,brackish teal mud brown marsh green,resilient operations system,queued
569,morphous-salt-marsh,Salt Marsh,landscape,coastal wetland,salt marsh grass,green marsh silver water mud,tidal logistics system,queued
570,morphous-bog,Bog,landscape,peat wetland,bog pool,peat brown moss green sky grey,slow knowledge system,queued
571,morphous-fen,Fen,landscape,mineral wetland,fen pools,sedge green clear water marl,quiet ecological system,queued
572,morphous-heath,Heath,landscape,moorland heath,heather moor,purple heather peat brown sky grey,open landscape system,queued
573,morphous-tundra,Tundra,landscape,arctic plain,tundra moss,moss green lichen grey snow white,sparse dashboard system,queued
574,morphous-taiga,Taiga,landscape,boreal forest,taiga canopy,spruce green snow blue bark,deep infrastructure system,queued
575,morphous-cloud-forest,Cloud Forest,landscape,tropical mountain,cloud forest moss,emerald moss mist white bark,atmospheric research system,queued
576,morphous-bamboo-forest,Bamboo Forest,landscape,monsoon grove,bamboo forest,green culm straw light shadow,structured productivity system,queued
577,morphous-temperate-rainforest,Temperate Rainforest,landscape,pacific coast,temperate rainforest,deep green moss cedar bark,rich documentation system,queued
578,morphous-oak-savanna,Oak Savanna,landscape,grassland woodland,oak savanna,gold grass oak green sky,balanced civic system,queued
579,morphous-wildflower-meadow,Wildflower Meadow,landscape,spring meadow,wildflower field,mixed bloom green grass sky,community campaign system,queued
580,morphous-alpine-meadow,Alpine Meadow,landscape,high mountain,alpine wildflowers,blue flower snow grass green,clear planning system,queued
581,morphous-moraine,Moraine,landscape,glacial valley,moraine stones,granite grey lichen green ice blue,structured archive system,queued
582,morphous-scree-slope,Scree Slope,landscape,mountain talus,scree rocks,grey stone rust lichen sky,rugged navigation system,queued
583,morphous-talus-field,Talus Field,landscape,alpine basin,talus boulders,slate grey moss green shadow,stable infrastructure system,queued
584,morphous-river-rapids,River Rapids,landscape,mountain river,whitewater rapids,white foam blue green granite,fast workflow system,queued
585,morphous-waterfall,Waterfall,landscape,rainforest gorge,waterfall plunge,white water emerald moss rock,dramatic landing system,queued
586,morphous-tidepool,Tidepool,landscape,rocky coast,tidepool ecosystem,teal water orange starfish grey,exploratory catalog system,queued
587,morphous-sea-stack,Sea Stack,landscape,storm coast,sea stack rock,grey rock sea blue foam white,coastal storytelling system,queued
588,morphous-coral-atoll,Coral Atoll,landscape,tropical lagoon,coral atoll,aqua lagoon coral sand palm,travel booking system,queued
589,morphous-lagoon,Lagoon,landscape,tropical coast,lagoon shallows,turquoise water white sand palm,relaxed commerce system,queued
590,morphous-monsoon-rain,Monsoon Rain,weather,tropical city,monsoon rainfall,deep green rain grey puddle blue,dense operations system,queued
591,morphous-drizzle,Drizzle,weather,coastal morning,drizzle droplets,pearl grey soft green wet stone,subtle productivity system,queued
592,morphous-hailstone,Hailstone,weather,storm cloud,hailstone ice,white ice slate cloud blue,incident alert system,queued
593,morphous-sleet,Sleet,weather,winter street,sleet pellets,ice grey asphalt blue white,careful logistics system,queued
594,morphous-hoarfrost,Hoarfrost,weather,winter branch,hoarfrost crystals,white frost bark brown pale blue,delicate component system,queued
595,morphous-rime-ice,Rime Ice,weather,mountain summit,rime ice feathers,white ice sky blue granite,crisp monitoring system,queued
596,morphous-sun-dog,Sun Dog,weather,polar sky,sun dog halo,ice rainbow pale sky gold,atmospheric data system,queued
597,morphous-mammatus-cloud,Mammatus Cloud,weather,storm sunset,mammatus cloud,slate purple peach storm grey,dramatic dashboard system,queued
598,morphous-lenticular-cloud,Lenticular Cloud,weather,mountain wave,lenticular cloud,pearl white blue shadow sunset,layered interface system,queued
599,morphous-sea-fog,Sea Fog,weather,cold coast,sea fog bank,soft grey sea blue dune tan,quiet navigation system,queued
600,morphous-meteor-shower,Meteor Shower,celestial,night sky,meteor streaks,midnight blue white gold violet,cosmic analytics system,queued
601,morphous-drosophila,Drosophila,insect,orchard edge,Drosophila melanogaster specimen,compound-eye red amber body translucent wing cream,clean natural specimen system,queued
